,date,open,high,low,close,change,increase,transaction,amount,pe_ratio
0,2019/02/15,229.0,229.0,226.5,227.0,0.0,0.0,22370,5093773,16.79
1,2019/02/14,229.5,230.0,226.0,227.0,-2.0,-0.87,23648,5392944,16.79
2,2019/02/13,232.0,232.0,228.5,229.0,-1.0,-0.43,28635,6575202,16.94
3,2019/02/12,230.0,230.0,229.0,230.0,2.0,0.88,29407,6756178,17.01
4,2019/02/11,228.0,229.0,226.5,228.0,7.0,3.17,78307,17849865,16.86
5,2019/01/30,220.5,221.5,220.0,221.0,-1.5,-0.67,44756,9880603,16.35
6,2019/01/29,222.5,225.0,222.0,222.5,-6.5,-2.84,41123,9162930,16.46
7,2019/01/28,229.5,229.5,228.0,229.0,3.0,1.33,26026,5953703,16.94
8,2019/01/25,226.5,227.0,225.0,226.0,3.5,1.57,46693,10564613,16.72
9,2019/01/24,222.5,222.5,220.5,222.5,2.0,0.91,26418,5865532,16.46
10,2019/01/23,221.5,222.0,220.0,220.5,-2.5,-1.12,16671,3679611,16.31
11,2019/01/22,220.0,223.0,219.0,223.0,2.0,0.9,28926,6405877,16.49
12,2019/01/21,220.0,223.0,220.0,221.0,2.5,1.14,29385,6513869,16.35
13,2019/01/18,219.0,220.0,217.5,218.5,-2.0,-0.91,49628,10862659,16.16
14,2019/01/17,218.0,221.0,218.0,220.5,3.0,1.38,21164,4646132,16.31
15,2019/01/16,218.5,220.0,217.5,217.5,-3.5,-1.58,28978,6332080,16.09
16,2019/01/15,216.5,221.0,215.5,221.0,2.5,1.14,38883,8498261,16.35
17,2019/01/14,218.5,220.0,217.0,218.5,-2.0,-0.91,17612,3844735,16.16
18,2019/01/11,219.0,220.5,218.0,220.5,4.5,2.08,28102,6174530,16.31
19,2019/01/10,216.0,216.5,214.5,216.0,0.5,0.23,20755,4474561,15.98
20,2019/01/09,212.0,216.5,211.0,215.5,4.5,2.13,46295,9941729,15.94
21,2019/01/08,212.0,212.5,210.0,211.0,-2.0,-0.94,22694,4787896,15.61
22,2019/01/07,212.0,214.0,211.0,213.0,5.0,2.4,35442,7537204,15.75
23,2019/01/04,211.5,211.5,206.5,208.0,-7.5,-3.48,65944,13758679,15.38
24,2019/01/03,214.0,218.0,214.0,215.5,-4.0,-1.82,34088,7345287,15.94
